Item,Instruction_1,Instruction_2,Instruction_3,Category
paper takeout burger boxes (unsoiled),"If paper is lined with wax or plastic (can be revealed by ripping slowly), then place this item in the Garbage Bin.","Otherwise, place this empty item in the Blue Bin.",,Blue Bin
sales receipts (matte paper),"If the paper is the size of a business card or smaller, place in an envelope or add to clear bag of shredded paper before putting in the Blue Bin.",Paper larger than a business card can be placed directly in the Blue Bin.,,Blue Bin
plastic CD/DVD cases (empty),Remove disc and any black plastic and place both in the Garbage Bin.,Remove any paper from the case and place paper and empty plastic case separately in the Blue Bin (recycling).,,Blue Bin
electric toothbrushes (with non-removable batteries),"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
cereal boxes,Remove any plastic/foil liners or windows and place those in the Garbage Bin.,Flatten box and place in the Blue Bin.,,Blue Bin
cigarette packages,Remove any plastic wrap and foil liners and place those in the Garbage Bin.,Place empty box in the Blue Bin.,,Blue Bin
cleaning spray bottles (empty),Containers with hazardous products must be disposed of as Household Hazardous Waste.,Place any black plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid or sprayer on, in the Blue Bin.",Blue Bin
plastic food tubs,Remove any foil or plastic seals and place those in the Garbage Bin.,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin (recycling).",Blue Bin
plastic clamshell containers,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic produce container,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic bakery container,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic berry containers,Remove absorbent pad and place it in the Garbage Bin.,Place any black or compostable plastic in the Garbage Bin.,,Blue Bin
plastic cake container,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic fruit container,Remove absorbent pad and place it in the Garbage Bin.,Place any black or compostable plastic in the Garbage Bin.,,Blue Bin
plastic salad container,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic sprout container,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic strawberry container,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic take out food containers,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic tomato container,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic dip containers,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic hummus containers,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
clear plastic recycling bags,Place crinkly/non-stretchy and compostable bags in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic coffee cup lid (non-black),Place any black or compostable plastic in the Garbage Bin.,Place this clean item in the Blue Bin.,,Blue Bin
plastic cup lid,Place any black or compostable plastic in the Garbage Bin.,Place this item in the Blue Bin.,,Blue Bin
paper coffee cup sleeves,Place this empty and clean item in the Blue Bin.,,,Blue Bin
computer paper,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
fax paper,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
construction paper,"Place paper that is dirty, soiled or with excessive paint or glue in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
plastic contact lens case,Place this item in the Garbage Bin.,,,Garbage Bin
cover stock,"Place paper that is dirty, soiled or with excessive paint or glue in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
cracker boxes,Remove any plastic/foil liners or windows and place those in the Garbage Bin.,Flatten box and place in the Blue Bin.,,Blue Bin
plastic dry cleaning bags,Place any black or compostable plastic bag in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
polyethylene dry cleaning bags,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
paper CD/DVD cases,Place disc and any plastic parts in the Garbage Bin.,Place empty paper case in the Blue Bin.,,Blue Bin
foam packaging (from electronics/appliances),Place any black foam and pieces shorter than 4 inches in the garbage.,Place this item in the Blue Bin (recycling).,,Blue Bin
"projectors (e.g. digital, multimedia, video)","Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronic waste is also collected at Drop-Off Depots and Community Environment Days.,Electronic Waste
paper file folders,Consider keeping this item for reuse or donating this item.,"Alternatively, place item in the Blue Bin (recycling).",,Blue Bin
fish can,"Empty and rinse item, then carefully place lid inside can and squeeze top to keep lid inside.",Place item in the Blue Bin (recycling).,,Blue Bin
salmon cans,"Empty and rinse item, then carefully place lid inside can and squeeze top to keep lid inside.",Place item in the Blue Bin (recycling).,,Blue Bin
sardines cans,"Empty and rinse item, then carefully place lid inside can and squeeze top to keep lid inside.",Place item in the Blue Bin (recycling).,,Blue Bin
foam egg cartons,"Place any foam that is soiled, shorter than 4 inches or black in the garbage.","Place empty item in the Blue Bin (recycling). Stained foam is fine, but it must be free of residue.",,Blue Bin
polystyrene foam plates/bowls/cups,"Place any foam that is soiled, shorter than 4 inches or black in the garbage.","Place empty item in the Blue Bin (recycling). Stained foam is fine, but it must be free of residue.",,Blue Bin
Styrofoam cups/plates/bowls,Place any black foam in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
foam meat/fish/vegetable trays (non-black),"Place any foam that is soiled, shorter than 4 inches or black in the garbage.",Remove plastic overwrap and absorbent pad and place in Garbage Bin.,"Place empty item in the Blue Bin (recycling). Stained foam is fine, but it must be free of residue.",Blue Bin
foam trays (non-black),"Place any foam that is soiled, shorter than 4 inches or black in the garbage.",Remove plastic overwrap and absorbent pad and place in Garbage Bin.,"Place empty item in the Blue Bin (recycling). Stained foam is fine, but it must be free of residue.",Blue Bin
food cans,"Empty and rinse item, then carefully place lid inside can and squeeze top to keep lid inside.",Place item in the Blue Bin (recycling).,,Blue Bin
pasta sauce cans,"Empty and rinse item, then carefully place lid inside can and squeeze top to keep lid inside.",Place item in the Blue Bin (recycling).,,Blue Bin
soup cans,"Empty and rinse item, then carefully place lid inside can and squeeze top to keep lid inside.",Place item in the Blue Bin (recycling).,,Blue Bin
steel cans,"Empty and rinse item, then carefully place lid inside can and squeeze top to keep lid inside.",Place item in the Blue Bin (recycling).,,Blue Bin
tomato sauce cans,"Empty and rinse item, then carefully place lid inside can and squeeze top to keep lid inside.",Place item in the Blue Bin (recycling).,,Blue Bin
frozen juice containers,Remove pull-off strips and place those in the Garbage Bin.,"Place metal end in empty, rinsed can and pinch closed before placing in the Blue Bin.",,Blue Bin
gable top containers,Remove any pull tabs and place them in the Garbage Bin.,Place this empty item in the Blue Bin (recycling) without flattening it.,,Blue Bin
glass bottles,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,,Blue Bin
glass carboy,"Place this empty, rinsed item in the Blue Bin.",,,Blue Bin
glass cooking oil bottles,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,,Blue Bin
glass home brewing bottles,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,,Blue Bin
glass containers,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,,Blue Bin
glass jars,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,,Blue Bin
glass perfume bottles (empty),Containers with hazardous products must be disposed of as Household Hazardous Waste.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
glass vitamin bottles,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,,Blue Bin
glass prescription bottles (empty),Containers with hazardous products must be disposed of as Household Hazardous Waste.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
glass wine making bottles,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,,Blue Bin
glossy paper,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
drones with audio/visual recording equipment,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
hairspray cans (empty),Cans containing hazardous products must be disposed of as Household Hazardous Waste.,"If empty, place can, with lid on, in the Blue Bin.",,Blue Bin
mousse cans (empty),Cans containing hazardous products must be disposed of as Household Hazardous Waste.,"If empty, place can, with lid on, in the Blue Bin.",,Blue Bin
hardcover books/hard cover books,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,"Alternatively, place this item in the Blue Bin.",,Blue Bin
index cards,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
juice boxes,Remove plastic straw and place it in the Garbage Bin.,Place this empty item in the Blue Bin.,,Blue Bin
juice cartons,Remove plastic straw and/or pull tab and place those in the Garbage Bin.,Place this empty item in the Blue Bin (recycling) without flattening it.,,Blue Bin
kraft paper,"Place paper that is dirty, soiled or with excessive paint or glue in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
alcohol bottles,"Place this empty, rinsed item in the Blue Bin.","Alternatively, alcohol containers can be returned for deposit to the Beer Store.",,Blue Bin
liquor bottles,"Place this empty, rinsed item in the Blue Bin.","Alternatively, alcohol containers can be returned for deposit to the Beer Store.",,Blue Bin
spirit bottles,"Place this empty, rinsed item in the Blue Bin.","Alternatively, alcohol containers can be returned for deposit to the Beer Store.",,Blue Bin
Mason jars,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,,Blue Bin
plastic laundry detergent measuring cup,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
Mason jar lids,Place this item in the Blue Bin.,,,Blue Bin
metal lids (from jar/bottle),Place this item in the Blue Bin.,,,Blue Bin
metal paint can lids,Place this item in the Blue Bin.,,,Blue Bin
empty paint cans (metal),Cans that still have paint (more than a thin layer) must be disposed of as Household Hazardous Waste.,Place lid and empty can separately in the Blue Bin (recycling).,,Blue Bin
milk bags (outer),Place any black plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
almond milk cartons,Remove plastic straw and/or pull tab and place those in the Garbage Bin.,Place this empty item in the Blue Bin (recycling) without flattening it.,,Blue Bin
milk cartons,Remove plastic straw and/or pull tab and place those in the Garbage Bin.,Place this empty item in the Blue Bin (recycling) without flattening it.,,Blue Bin
soy milk cartons,Remove plastic straw and/or pull tab and place those in the Garbage Bin.,Place this empty item in the Blue Bin (recycling) without flattening it.,,Blue Bin
plastic bags (contained fertilizer),Place dirty or black bag in the Garbage Bin.,Place empty and rinsed bag in the Blue Bin.,,Blue Bin
plastic bags (contained mulch),Place dirty or black bag in the Garbage Bin.,Place empty and rinsed bag in the Blue Bin.,,Blue Bin
Nalgene water bottles,"Place this empty, rinsed item in the Blue Bin.",,,Blue Bin
newsprint,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
novels,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,"Alternatively, place this item in the Blue Bin.",,Blue Bin
electric razors/shavers/trimmers (with non-removable batteries),"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
corrugated cardboard (unwaxed),Remove as much tape and labels as possible and put those in the Garbage Bin.,Flatten/break down and place in the Blue Bin.,"Any extra cardboard should be flattened, cut into pieces that could fit into an empty recycling bin and bundled with string or twine, then placed beside the Blue Bin.",Blue Bin
packing paper,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
paper,"If the paper is the size of a business card or smaller, place in an envelope or add to clear bag of shredded paper before putting in the Blue Bin.",Paper larger than a business card can be placed directly in the Blue Bin.,,Blue Bin
paper gift tags,"If paper is covered with plastic (can be revealed by ripping slowly), place this item in the Garbage Bin.","If the paper is the size of a business card or smaller, place in an envelope or add to clear bag of shredded paper before putting in the Blue Bin.",Paper larger than a business card can be placed directly in the Blue Bin.,Blue Bin
paper greeting cards/Christmas cards/birthday cards/gift cards,Remove any non-paper materials and place those in the Garbage Bin.,Place clean paper in the Blue Bin.,Cards with batteries should be disposed of as Electronic Waste.,Blue Bin
paper lottery tickets,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
paper post cards,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
plastic overwrap (around paper towels),Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
paper bags (unsoiled),"If lined with plastic (can be revealed by ripping slowly), then place in the Garbage Bin.","Otherwise, place this empty item in the Blue Bin.",,Blue Bin
paper tubes,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
paper envelopes,Place this item in the Blue Bin (recycling).,The plastic window does not need to be removed.,,Blue Bin
pasta boxes,Remove any plastic/foil liners or windows and place those in the Garbage Bin.,Flatten box and place in the Blue Bin.,,Blue Bin
plastic bags (contained manure),Place dirty or black bag in the Garbage Bin.,Place empty and rinsed bag in the Blue Bin.,,Blue Bin
plastic bags (contained peat moss),Place dirty or black bag in the Garbage Bin.,Place empty and rinsed bag in the Blue Bin.,,Blue Bin
plastic bags (contained road salt),Place dirty or black bag in the Garbage Bin.,Place empty and rinsed bag in the Blue Bin.,,Blue Bin
plastic bags (contained soil),Place dirty or black bag in the Garbage Bin.,Place empty and rinsed bag in the Blue Bin.,,Blue Bin
plastic bags (contained compost),Place dirty or black bag in the Garbage Bin.,Place empty and rinsed bag in the Blue Bin.,,Blue Bin
PETE #1 containers,Place any black plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
cardboard produce baskets,Remove plastic handles and place in Blue Bin.,"If cardboard is soiled with food, place it in the Green Bin.","Otherwise, break down/flatten unsoiled cardboard and place in the Blue Bin.",Blue Bin
phone books,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
telephone directory books,"Place dirty, soiled paper in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
pizza boxes (unsoiled),Remove any plastic pieces and place those in the Garbage Bin.,"Place empty, unsoiled box in the Blue Bin.",,Blue Bin
flour,Place this item in the Green Bin.,,,Green Bin
plastic bags (soft and stretchy),Place any black or compostable bag in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
polyethylene plastic bags,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic mesh fruit basket,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic berry baskets,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic bleach bottles,Containers with hazardous products must be disposed of as Household Hazardous Waste.,Place any black plastic in the Garbage Bin.,,Blue Bin
plastic carboy,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic chocolate trays,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic cracker trays,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic coin wrapper,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic cookie trays,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
disposable plastic cups,Place empty and clean cup with lid in the Blue Bin.,Remove and discard straw into the Garbage Bin.,Place all black and compostable plastic in the Garbage Bin.,Blue Bin
plastic cups,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic cutlery,Place any black or compostable plastic in the Garbage Bin.,Place this clean item in the Blue Bin.,,Blue Bin
plastic forks,Place any black or compostable plastic in the Garbage Bin.,Place this clean item in the Blue Bin.,,Blue Bin
plastic knife,Place any black or compostable plastic in the Garbage Bin.,Place this clean item in the Blue Bin.,,Blue Bin
plastic spoons,Place any black or compostable plastic in the Garbage Bin.,Place this clean item in the Blue Bin.,,Blue Bin
plastic detergent bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic egg cartons,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic envelopes (around greeting cards),Place this crinkly/non-stretchy plastic item in the garbage.,,,Garbage Bin
plastic flower pots,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic plant pots,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic food jar lids,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic food tub lids,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic fruit baskets,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic cosmetic bottles (empty),"If container is not empty, check if the contents are Household Hazardous Waste and dispose of properly.",Place any black and/or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid, pump or sprayer on, in the Blue Bin.",Blue Bin
paper report covers (Duotang),Consider keeping this item for reuse or donating to non-profit organizations.,"Alternatively, place item in the Blue Bin (recycling). If possible, remove metal pieces and place those in the garbage.",Place any plastic covers/sheets in the garbage.,Blue Bin
plastic hanging baskets,Place any black plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic jugs,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic beverage containers,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic juice bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic lotion bottles (empty),"If container is not empty, check if the contents are Household Hazardous Waste and dispose of properly.",Place any black and/or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid, pump or sprayer on, in the Blue Bin.",Blue Bin
plastic moisturizer bottles (empty),"If container is not empty, check if the contents are Household Hazardous Waste and dispose of properly.",Place any black and/or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid, pump or sprayer on, in the Blue Bin.",Blue Bin
plastic mouthwash bottles (empty),"If container is not empty, check if the contents are Household Hazardous Waste and dispose of properly.",Place any black and/or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid, pump or sprayer on, in the Blue Bin.",Blue Bin
plastic overwrap (around catalogue),Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic flyer bag,"Place crinkly/non-stretchy, black and compostable bags in the Garbage Bin.",Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic overwrap (around magazine),Place any black and compostable bags in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic newspaper bags,"Place crinkly/non-stretchy, black and compostable bags in the Garbage Bin.",Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic perfume bottles (empty),"If container is not empty, check if the contents are Household Hazardous Waste and dispose of properly.",Place any black and/or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid, pump or sprayer on, in the Blue Bin.",Blue Bin
plastic spray bottles (empty),"If container is not empty, check if the contents are Household Hazardous Waste and dispose of properly.",Place any black and/or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid, pump or sprayer on, in the Blue Bin.",Blue Bin
plastic medication vials (empty),Place any black plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic pill bottles (empty),Place any black plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic plant trays,Place any black or compostable plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
disposable plastic plates,Place any black and/or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic plates,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
PET bottles,Place any black plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
PETE bottles,Place any black plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic pop bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
plastic soda bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
plastic bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
plastic squeezable barbecue sauce bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
plastic squeezable condiment bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
plastic squeezable salad dressing bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
plastic squeezable soya sauce bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
plastic shampoo bottles (empty),"If container is not empty, check if the contents are Household Hazardous Waste and dispose of properly.",Place any black and/or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid, pump or sprayer on, in the Blue Bin.",Blue Bin
plastic mailing/shipping bags/envelopes (soft & stretchy),"Place crinkly/non-stretchy, black and compostable bags in the garbage.",Place empty bags that are at least a little soft and stretchy in the Blue Bin (recycling). Remove as much tape and labels as possible and put those in the garbage.,,Blue Bin
plastic soap bottles (empty),"If container is not empty, check if the contents are Household Hazardous Waste and dispose of properly.",Place any black and/or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid, pump or sprayer on, in the Blue Bin.",Blue Bin
plastic squeezable food bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
plastic squeezable ketchup bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
plastic squeezable mayonnaise bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
plastic squeezable mustard bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
plastic sunscreen bottles (empty),"If container is not empty, check if the contents are Household Hazardous Waste and dispose of properly.",Place any black and/or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid, pump or sprayer on, in the Blue Bin.",Blue Bin
plastic medicine bottles (empty),Place any black plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic prescription bottles (empty),Place any black plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic vitamin bottles (empty),Place any black plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
plastic drink bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
plastic reusable water bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty item, with lid on, in the Blue Bin (recycling).",,Blue Bin
plastic water bottles,Place any black or compostable plastic in the Garbage Bin.,"Place this empty item, with lid on, in the Blue Bin (recycling).",,Blue Bin
